ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Furnished_Status_encoded,Public_Transport_Accessibility_encoded,Parking_Space_encoded,Security_encoded,Availability_Status_encoded
77100,Karnataka,Bangalore,Locality_246,Independent House,5,4945,430.98,0.09,2022,Furnished,10,21,3,10,10,Medium,No,No,"Pool, Playground, Garden",East,Builder,Under_Construction,1.0,0.5,0,0,1
77122,Karnataka,Bangalore,Locality_169,Independent House,3,4563,133.8,0.03,2020,Furnished,21,24,5,9,2,High,No,Yes,"Gym, Clubhouse, Garden, Playground",North,Owner,Under_Construction,1.0,1.0,0,1,1
77211,Karnataka,Bangalore,Locality_173,Villa,2,940,416.72,0.44,2019,Unfurnished,0,1,6,9,5,Low,No,No,"Playground, Clubhouse, Garden, Gym, Pool",South,Owner,Ready_to_Move,0.0,0.0,0,0,0
77253,Karnataka,Bangalore,Locality_80,Apartment,3,4228,91.36,0.02,1992,Furnished,29,25,33,1,8,Low,No,No,"Clubhouse, Garden",North,Broker,Ready_to_Move,1.0,0.0,0,0,0
77305,Karnataka,Bangalore,Locality_319,Apartment,5,3088,163.11,0.05,2010,Semi-furnished,19,19,15,2,3,Medium,No,Yes,"Garden, Gym, Clubhouse",North,Owner,Ready_to_Move,0.5,0.5,0,1,0
77370,Karnataka,Bangalore,Locality_272,Villa,3,3590,39.49,0.01,2003,Semi-furnished,24,21,22,3,5,Medium,Yes,No,Pool,North,Builder,Ready_to_Move,0.5,0.5,1,0,0
77396,Karnataka,Bangalore,Locality_244,Apartment,3,2910,201.82,0.07,2023,Semi-furnished,27,6,2,4,6,High,No,No,Playground,North,Builder,Ready_to_Move,0.5,1.0,0,0,0
77408,Karnataka,Bangalore,Locality_255,Apartment,2,2962,133.21,0.04,2010,Furnished,5,27,15,1,9,Low,No,Yes,"Garden, Gym, Pool, Clubhouse, Playground",North,Builder,Under_Construction,1.0,0.0,0,1,1
77529,Karnataka,Bangalore,Locality_426,Apartment,4,4240,122.81,0.03,2010,Unfurnished,16,16,15,2,3,Low,No,No,"Playground, Gym, Garden, Pool",North,Owner,Under_Construction,0.0,0.0,0,0,1
77834,Karnataka,Bangalore,Locality_397,Independent House,4,751,345.54,0.46,2009,Unfurnished,10,7,16,7,3,Medium,Yes,No,"Playground, Pool, Garden, Clubhouse",North,Broker,Under_Construction,0.0,0.5,1,0,1
77849,Karnataka,Bangalore,Locality_184,Villa,5,4069,377.16,0.09,2008,Unfurnished,9,18,17,10,2,Low,No,No,"Gym, Garden, Pool",North,Builder,Ready_to_Move,0.0,0.0,0,0,0
77869,Karnataka,Bangalore,Locality_417,Villa,2,758,430.32,0.57,2014,Furnished,23,21,11,6,9,High,No,No,"Garden, Clubhouse, Pool, Gym, Playground",East,Builder,Under_Construction,1.0,1.0,0,0,1
77901,Karnataka,Bangalore,Locality_215,Apartment,4,603,334.17,0.55,2012,Unfurnished,24,11,13,6,9,Medium,Yes,Yes,"Clubhouse, Garden, Playground",East,Builder,Under_Construction,0.0,0.5,1,1,1
77929,Karnataka,Bangalore,Locality_89,Villa,1,4556,291.49,0.06,2014,Semi-furnished,20,10,11,3,3,Low,No,No,"Playground, Gym, Pool",West,Builder,Ready_to_Move,0.5,0.0,0,0,0
77964,Karnataka,Bangalore,Locality_100,Apartment,4,3756,286.9,0.08,1992,Furnished,26,16,33,4,4,Medium,No,No,"Gym, Playground",West,Builder,Ready_to_Move,1.0,0.5,0,0,0
77966,Karnataka,Bangalore,Locality_196,Independent House,4,2795,420.15,0.15,2002,Unfurnished,4,6,23,4,4,Medium,No,No,"Playground, Clubhouse",East,Broker,Under_Construction,0.0,0.5,0,0,1
77974,Karnataka,Bangalore,Locality_318,Apartment,3,3808,378.59,0.1,2023,Unfurnished,28,26,2,2,3,Low,No,Yes,"Pool, Clubhouse, Garden",South,Owner,Ready_to_Move,0.0,0.0,0,1,0
77989,Karnataka,Bangalore,Locality_341,Independent House,2,819,72.4,0.09,2016,Unfurnished,15,22,9,10,4,High,Yes,Yes,"Pool, Playground, Clubhouse",West,Broker,Under_Construction,0.0,1.0,1,1,1
78104,Karnataka,Bangalore,Locality_447,Villa,2,862,75.11,0.09,1997,Unfurnished,5,24,28,4,1,Medium,Yes,No,"Gym, Pool, Clubhouse, Playground",West,Broker,Ready_to_Move,0.0,0.5,1,0,0
78126,Karnataka,Bangalore,Locality_15,Independent House,5,3747,21.19,0.01,2012,Unfurnished,30,28,13,8,3,Medium,Yes,No,Gym,West,Owner,Ready_to_Move,0.0,0.5,1,0,0
78326,Karnataka,Bangalore,Locality_48,Apartment,4,1347,492.43,0.37,2009,Furnished,9,4,16,3,6,Medium,Yes,No,"Garden, Clubhouse",South,Broker,Under_Construction,1.0,0.5,1,0,1
78357,Karnataka,Bangalore,Locality_12,Independent House,2,4205,383.91,0.09,2006,Unfurnished,12,28,19,10,6,Medium,No,No,Clubhouse,West,Builder,Under_Construction,0.0,0.5,0,0,1
78365,Karnataka,Bangalore,Locality_492,Independent House,1,3931,151.41,0.04,2015,Semi-furnished,28,17,10,7,9,High,Yes,No,"Pool, Playground, Gym",South,Broker,Under_Construction,0.5,1.0,1,0,1
78401,Karnataka,Bangalore,Locality_488,Apartment,1,4398,444.16,0.1,2012,Unfurnished,22,25,13,6,9,Low,No,No,"Playground, Clubhouse",North,Builder,Under_Construction,0.0,0.0,0,0,1
78476,Karnataka,Bangalore,Locality_315,Apartment,3,1956,445.79,0.23,2017,Semi-furnished,5,1,8,8,7,High,Yes,No,Gym,West,Broker,Under_Construction,0.5,1.0,1,0,1
78502,Karnataka,Bangalore,Locality_216,Villa,4,1044,294.93,0.28,2020,Unfurnished,6,16,5,8,9,Low,No,Yes,"Pool, Playground, Clubhouse",East,Builder,Under_Construction,0.0,0.0,0,1,1
78641,Karnataka,Bangalore,Locality_6,Independent House,3,996,474.01,0.48,1993,Unfurnished,14,1,32,10,8,Medium,Yes,No,"Pool, Playground, Garden",East,Builder,Under_Construction,0.0,0.5,1,0,1
78650,Karnataka,Bangalore,Locality_56,Villa,4,3848,352.88,0.09,2009,Furnished,1,25,16,10,1,Medium,Yes,No,"Gym, Clubhouse, Pool",South,Broker,Ready_to_Move,1.0,0.5,1,0,0
78654,Karnataka,Bangalore,Locality_220,Villa,2,1225,253.07,0.21,2016,Furnished,8,5,9,7,2,High,Yes,Yes,"Garden, Gym, Playground",West,Owner,Ready_to_Move,1.0,1.0,1,1,0
78712,Karnataka,Bangalore,Locality_36,Independent House,5,3689,429.77,0.12,1995,Semi-furnished,2,17,30,2,2,Medium,Yes,No,"Garden, Gym",South,Owner,Under_Construction,0.5,0.5,1,0,1
78765,Karnataka,Bangalore,Locality_22,Independent House,2,4893,168.0,0.03,2008,Unfurnished,0,22,17,4,9,Medium,No,No,"Gym, Garden, Clubhouse",South,Broker,Under_Construction,0.0,0.5,0,0,1
78779,Karnataka,Bangalore,Locality_249,Villa,1,4912,64.2,0.01,2009,Unfurnished,24,20,16,4,10,Medium,Yes,No,"Pool, Gym, Garden, Clubhouse",West,Broker,Ready_to_Move,0.0,0.5,1,0,0
78812,Karnataka,Bangalore,Locality_211,Apartment,4,2844,135.34,0.05,1998,Unfurnished,15,19,27,4,4,High,Yes,Yes,"Garden, Gym, Clubhouse",South,Owner,Under_Construction,0.0,1.0,1,1,1
78814,Karnataka,Bangalore,Locality_197,Villa,1,4301,201.04,0.05,2006,Semi-furnished,11,23,19,10,6,Low,Yes,No,Pool,South,Broker,Ready_to_Move,0.5,0.0,1,0,0
79003,Karnataka,Bangalore,Locality_331,Villa,3,4341,350.78,0.08,2018,Unfurnished,14,1,7,10,1,Low,No,No,Gym,South,Broker,Under_Construction,0.0,0.0,0,0,1
79028,Karnataka,Bangalore,Locality_45,Villa,1,1126,77.55,0.07,2021,Unfurnished,2,18,4,8,10,High,Yes,No,"Playground, Pool, Clubhouse, Gym, Garden",South,Builder,Under_Construction,0.0,1.0,1,0,1
79081,Karnataka,Bangalore,Locality_309,Apartment,2,2122,353.04,0.17,2023,Semi-furnished,21,5,2,8,7,Medium,Yes,No,"Garden, Pool, Gym, Playground, Clubhouse",North,Broker,Ready_to_Move,0.5,0.5,1,0,0
79098,Karnataka,Bangalore,Locality_496,Villa,2,2371,114.29,0.05,2013,Unfurnished,8,28,12,6,8,Medium,Yes,No,"Gym, Playground, Garden, Clubhouse, Pool",North,Broker,Ready_to_Move,0.0,0.5,1,0,0
79102,Karnataka,Bangalore,Locality_352,Independent House,2,3150,486.57,0.15,2018,Semi-furnished,4,1,7,9,4,High,No,Yes,"Gym, Clubhouse, Pool",North,Broker,Under_Construction,0.5,1.0,0,1,1
79221,Karnataka,Bangalore,Locality_441,Independent House,2,3806,345.19,0.09,2013,Unfurnished,27,9,12,5,9,High,No,Yes,"Clubhouse, Pool, Garden, Gym, Playground",South,Broker,Under_Construction,0.0,1.0,0,1,1
79223,Karnataka,Bangalore,Locality_69,Apartment,4,3048,205.43,0.07,1997,Unfurnished,1,2,28,9,10,High,Yes,No,"Gym, Clubhouse, Playground, Garden, Pool",South,Builder,Ready_to_Move,0.0,1.0,1,0,0
79267,Karnataka,Bangalore,Locality_68,Villa,4,2220,441.11,0.2,1996,Unfurnished,16,10,29,3,5,Medium,No,Yes,"Pool, Clubhouse, Gym, Garden, Playground",East,Broker,Under_Construction,0.0,0.5,0,1,1
79283,Karnataka,Bangalore,Locality_93,Apartment,5,4835,255.02,0.05,2012,Unfurnished,6,2,13,6,10,High,Yes,No,"Clubhouse, Gym, Playground, Pool",North,Owner,Ready_to_Move,0.0,1.0,1,0,0
79406,Karnataka,Bangalore,Locality_360,Independent House,4,3156,99.71,0.03,2009,Semi-furnished,1,19,16,6,10,Medium,Yes,No,"Gym, Playground, Pool",North,Owner,Under_Construction,0.5,0.5,1,0,1
79463,Karnataka,Bangalore,Locality_315,Apartment,3,2987,217.61,0.07,2000,Semi-furnished,4,6,25,4,7,High,Yes,Yes,"Pool, Playground, Garden",North,Owner,Under_Construction,0.5,1.0,1,1,1
79482,Karnataka,Bangalore,Locality_103,Villa,2,2090,315.55,0.15,2007,Semi-furnished,30,12,18,1,2,High,Yes,Yes,"Pool, Gym, Clubhouse",North,Builder,Ready_to_Move,0.5,1.0,1,1,0
79484,Karnataka,Bangalore,Locality_139,Independent House,1,3745,65.55,0.02,2010,Unfurnished,18,10,15,8,4,High,No,No,"Garden, Clubhouse, Gym",South,Broker,Under_Construction,0.0,1.0,0,0,1
79503,Karnataka,Bangalore,Locality_159,Villa,1,1043,173.07,0.17,2004,Semi-furnished,26,7,21,6,4,Low,Yes,Yes,"Clubhouse, Gym, Pool, Garden, Playground",West,Owner,Ready_to_Move,0.5,0.0,1,1,0
79565,Karnataka,Bangalore,Locality_330,Independent House,4,1771,298.8,0.17,1999,Furnished,0,14,26,6,9,Low,No,No,Garden,East,Broker,Under_Construction,1.0,0.0,0,0,1
79620,Karnataka,Bangalore,Locality_56,Independent House,1,4023,125.16,0.03,1993,Unfurnished,20,24,32,8,7,Medium,Yes,Yes,"Pool, Garden, Clubhouse, Playground",North,Broker,Under_Construction,0.0,0.5,1,1,1
79731,Karnataka,Bangalore,Locality_112,Apartment,1,1879,227.37,0.12,2019,Unfurnished,30,21,6,9,2,Medium,Yes,No,"Playground, Gym",West,Builder,Ready_to_Move,0.0,0.5,1,0,0
79756,Karnataka,Bangalore,Locality_116,Apartment,5,2291,229.26,0.1,1996,Furnished,9,10,29,8,3,High,Yes,No,"Gym, Pool, Garden, Clubhouse",East,Builder,Ready_to_Move,1.0,1.0,1,0,0
79775,Karnataka,Bangalore,Locality_461,Apartment,5,783,128.59,0.16,2023,Unfurnished,7,4,2,1,1,Low,No,No,"Pool, Gym",North,Broker,Ready_to_Move,0.0,0.0,0,0,0
79893,Karnataka,Bangalore,Locality_405,Apartment,1,1597,393.4,0.25,1997,Unfurnished,17,8,28,8,6,Medium,No,Yes,"Playground, Clubhouse, Gym, Pool, Garden",South,Broker,Under_Construction,0.0,0.5,0,1,1
79936,Karnataka,Bangalore,Locality_422,Independent House,1,633,312.79,0.49,2023,Furnished,28,7,2,4,7,High,Yes,No,"Clubhouse, Playground, Garden",West,Builder,Ready_to_Move,1.0,1.0,1,0,0
80046,Karnataka,Bangalore,Locality_118,Villa,4,3406,356.08,0.1,2001,Unfurnished,19,16,24,1,8,Medium,No,Yes,"Playground, Garden, Clubhouse, Pool",North,Broker,Ready_to_Move,0.0,0.5,0,1,0
80123,Karnataka,Bangalore,Locality_168,Villa,4,2217,120.66,0.05,2013,Semi-furnished,0,29,12,8,7,High,No,No,"Gym, Clubhouse, Garden",North,Builder,Ready_to_Move,0.5,1.0,0,0,0
80161,Karnataka,Bangalore,Locality_165,Independent House,3,2084,207.95,0.1,2019,Unfurnished,17,24,6,9,7,High,No,Yes,"Gym, Playground",West,Owner,Ready_to_Move,0.0,1.0,0,1,0
80273,Karnataka,Bangalore,Locality_259,Apartment,3,3998,156.32,0.04,2021,Unfurnished,29,15,4,5,9,Low,Yes,Yes,Pool,South,Broker,Ready_to_Move,0.0,0.0,1,1,0
80283,Karnataka,Bangalore,Locality_165,Apartment,5,2955,463.13,0.16,2006,Semi-furnished,14,15,19,10,8,Low,Yes,Yes,"Playground, Garden, Pool, Clubhouse, Gym",East,Owner,Under_Construction,0.5,0.0,1,1,1
80325,Karnataka,Bangalore,Locality_157,Apartment,5,1468,88.8,0.06,2004,Furnished,3,11,21,10,9,High,No,Yes,"Playground, Gym, Clubhouse, Garden",East,Owner,Under_Construction,1.0,1.0,0,1,1
80329,Karnataka,Bangalore,Locality_88,Apartment,3,4062,81.31,0.02,2005,Unfurnished,10,16,20,4,6,Low,Yes,Yes,Garden,East,Owner,Ready_to_Move,0.0,0.0,1,1,0
80730,Karnataka,Bangalore,Locality_192,Villa,3,2860,251.81,0.09,1998,Semi-furnished,23,18,27,7,2,High,No,No,"Garden, Gym",West,Broker,Ready_to_Move,0.5,1.0,0,0,0
80774,Karnataka,Bangalore,Locality_342,Apartment,4,673,289.46,0.43,2021,Unfurnished,29,12,4,6,2,Medium,No,Yes,Pool,West,Builder,Under_Construction,0.0,0.5,0,1,1
80799,Karnataka,Bangalore,Locality_483,Independent House,1,3941,115.07,0.03,2002,Furnished,29,19,23,6,5,High,Yes,Yes,"Playground, Pool, Gym, Garden, Clubhouse",South,Owner,Under_Construction,1.0,1.0,1,1,1
80803,Karnataka,Bangalore,Locality_129,Independent House,2,4951,323.85,0.07,2014,Semi-furnished,14,18,11,5,4,Low,No,No,Clubhouse,South,Builder,Ready_to_Move,0.5,0.0,0,0,0
80851,Karnataka,Bangalore,Locality_52,Apartment,5,1834,286.72,0.16,1991,Unfurnished,1,26,34,6,9,Medium,Yes,Yes,"Pool, Playground",West,Builder,Under_Construction,0.0,0.5,1,1,1
80882,Karnataka,Bangalore,Locality_449,Villa,1,3561,33.66,0.01,2011,Furnished,23,13,14,3,6,Medium,No,No,"Gym, Playground, Clubhouse, Garden, Pool",South,Owner,Ready_to_Move,1.0,0.5,0,0,0
80897,Karnataka,Bangalore,Locality_249,Apartment,3,1036,486.63,0.47,2000,Semi-furnished,16,4,25,5,4,High,Yes,No,"Clubhouse, Pool, Garden, Playground, Gym",South,Broker,Ready_to_Move,0.5,1.0,1,0,0
80946,Karnataka,Bangalore,Locality_350,Apartment,4,2894,71.0,0.02,2002,Unfurnished,10,22,23,4,6,High,Yes,Yes,Gym,East,Broker,Ready_to_Move,0.0,1.0,1,1,0
81000,Karnataka,Bangalore,Locality_412,Villa,1,4366,294.39,0.07,2007,Furnished,25,7,18,7,9,Low,Yes,No,Pool,South,Owner,Ready_to_Move,1.0,0.0,1,0,0
81013,Karnataka,Bangalore,Locality_438,Independent House,4,2359,17.86,0.01,2016,Semi-furnished,19,16,9,7,5,Medium,Yes,Yes,"Garden, Playground, Pool, Gym",South,Broker,Under_Construction,0.5,0.5,1,1,1
81016,Karnataka,Bangalore,Locality_413,Independent House,1,2065,422.71,0.2,2018,Unfurnished,2,5,7,1,4,Medium,Yes,No,"Clubhouse, Garden, Pool",West,Builder,Ready_to_Move,0.0,0.5,1,0,0
81239,Karnataka,Bangalore,Locality_292,Villa,5,997,99.75,0.1,2023,Furnished,13,3,2,8,1,Low,Yes,No,"Pool, Gym",North,Builder,Ready_to_Move,1.0,0.0,1,0,0
81275,Karnataka,Bangalore,Locality_186,Independent House,3,1784,464.49,0.26,2007,Semi-furnished,23,27,18,4,5,Low,No,Yes,"Pool, Garden",South,Owner,Ready_to_Move,0.5,0.0,0,1,0
81395,Karnataka,Bangalore,Locality_58,Independent House,2,2513,119.18,0.05,1991,Furnished,27,18,34,8,4,High,No,No,"Playground, Pool",West,Broker,Ready_to_Move,1.0,1.0,0,0,0
81440,Karnataka,Bangalore,Locality_479,Villa,1,1447,342.3,0.24,2009,Furnished,8,6,16,10,6,Medium,No,No,"Garden, Clubhouse, Playground, Gym, Pool",South,Builder,Ready_to_Move,1.0,0.5,0,0,0
81509,Karnataka,Bangalore,Locality_321,Apartment,3,2528,280.23,0.11,2013,Unfurnished,18,30,12,10,6,Low,Yes,No,"Garden, Pool",West,Broker,Under_Construction,0.0,0.0,1,0,1
81553,Karnataka,Bangalore,Locality_62,Independent House,2,2437,252.56,0.1,2004,Furnished,3,25,21,7,8,Medium,No,Yes,"Garden, Pool, Playground, Clubhouse",South,Owner,Under_Construction,1.0,0.5,0,1,1
81587,Karnataka,Bangalore,Locality_100,Independent House,5,1329,436.5,0.33,1993,Furnished,28,20,32,9,4,Medium,No,No,"Garden, Clubhouse, Gym, Playground, Pool",West,Builder,Ready_to_Move,1.0,0.5,0,0,0
81655,Karnataka,Bangalore,Locality_365,Independent House,2,1863,90.99,0.05,1990,Unfurnished,16,19,35,8,8,Medium,No,Yes,"Pool, Garden, Clubhouse",South,Owner,Under_Construction,0.0,0.5,0,1,1
81751,Karnataka,Bangalore,Locality_137,Apartment,3,1954,40.87,0.02,1995,Furnished,6,3,30,2,8,High,Yes,No,"Garden, Gym",North,Builder,Ready_to_Move,1.0,1.0,1,0,0
81823,Karnataka,Bangalore,Locality_105,Apartment,4,3181,147.32,0.05,2008,Semi-furnished,25,28,17,3,8,Low,Yes,No,"Garden, Clubhouse, Pool, Gym",East,Owner,Ready_to_Move,0.5,0.0,1,0,0
81831,Karnataka,Bangalore,Locality_36,Independent House,3,4984,160.24,0.03,2000,Furnished,23,11,25,7,6,Low,Yes,Yes,"Clubhouse, Gym, Garden",South,Owner,Ready_to_Move,1.0,0.0,1,1,0
81857,Karnataka,Bangalore,Locality_418,Apartment,5,1919,463.66,0.24,2021,Unfurnished,3,24,4,7,8,Low,Yes,Yes,"Pool, Playground",South,Broker,Ready_to_Move,0.0,0.0,1,1,0
81889,Karnataka,Bangalore,Locality_446,Villa,4,4167,363.55,0.09,2015,Unfurnished,17,10,10,8,8,Low,No,Yes,"Pool, Gym, Garden",South,Owner,Ready_to_Move,0.0,0.0,0,1,0
82027,Karnataka,Bangalore,Locality_375,Apartment,2,3739,218.65,0.06,2003,Unfurnished,1,15,22,9,10,High,Yes,No,Pool,South,Broker,Under_Construction,0.0,1.0,1,0,1
82087,Karnataka,Bangalore,Locality_454,Villa,4,3789,138.64,0.04,2010,Furnished,16,29,15,6,8,Medium,No,Yes,"Playground, Gym",East,Builder,Under_Construction,1.0,0.5,0,1,1
82297,Karnataka,Bangalore,Locality_71,Independent House,5,2080,79.63,0.04,2017,Semi-furnished,3,14,8,9,9,Medium,Yes,Yes,Pool,East,Broker,Ready_to_Move,0.5,0.5,1,1,0
82342,Karnataka,Bangalore,Locality_194,Villa,5,2453,426.24,0.17,2015,Furnished,11,28,10,10,3,Medium,No,No,"Garden, Gym, Clubhouse, Playground",North,Builder,Ready_to_Move,1.0,0.5,0,0,0
82360,Karnataka,Bangalore,Locality_334,Villa,2,4505,26.05,0.01,1994,Semi-furnished,15,18,31,8,8,Medium,No,No,"Gym, Pool, Garden",South,Owner,Under_Construction,0.5,0.5,0,0,1
82556,Karnataka,Bangalore,Locality_168,Villa,2,1312,75.86,0.06,2019,Semi-furnished,26,5,6,10,5,Low,Yes,No,"Clubhouse, Gym, Playground",North,Builder,Under_Construction,0.5,0.0,1,0,1
82571,Karnataka,Bangalore,Locality_200,Apartment,3,4634,189.36,0.04,2020,Semi-furnished,16,15,5,8,2,Low,Yes,Yes,"Clubhouse, Playground",North,Builder,Ready_to_Move,0.5,0.0,1,1,0
82727,Karnataka,Bangalore,Locality_423,Villa,3,3011,433.11,0.14,2012,Unfurnished,23,13,13,2,10,High,No,No,"Garden, Clubhouse, Gym, Pool",East,Broker,Ready_to_Move,0.0,1.0,0,0,0
82788,Karnataka,Bangalore,Locality_204,Villa,2,3693,124.07,0.03,2011,Semi-furnished,5,15,14,3,6,Medium,Yes,Yes,"Playground, Clubhouse, Pool, Garden, Gym",West,Owner,Ready_to_Move,0.5,0.5,1,1,0
82789,Karnataka,Bangalore,Locality_364,Apartment,5,3660,434.24,0.12,2009,Unfurnished,1,8,16,8,3,Low,Yes,Yes,"Garden, Pool, Clubhouse",West,Owner,Ready_to_Move,0.0,0.0,1,1,0
82897,Karnataka,Bangalore,Locality_113,Independent House,4,3795,478.94,0.13,2012,Unfurnished,20,30,13,5,3,High,No,No,"Playground, Clubhouse, Pool, Garden, Gym",South,Owner,Under_Construction,0.0,1.0,0,0,1
82915,Karnataka,Bangalore,Locality_179,Villa,3,1058,94.16,0.09,2000,Unfurnished,16,9,25,1,7,High,Yes,Yes,Pool,East,Builder,Ready_to_Move,0.0,1.0,1,1,0
82923,Karnataka,Bangalore,Locality_15,Apartment,4,1232,399.36,0.32,2020,Unfurnished,25,11,5,5,10,Medium,Yes,Yes,"Gym, Pool, Clubhouse, Garden, Playground",South,Broker,Under_Construction,0.0,0.5,1,1,1
82986,Karnataka,Bangalore,Locality_215,Independent House,3,2974,195.89,0.07,2005,Furnished,3,28,20,7,1,High,Yes,Yes,Clubhouse,South,Owner,Ready_to_Move,1.0,1.0,1,1,0
83002,Karnataka,Bangalore,Locality_74,Villa,4,1655,270.34,0.16,2015,Furnished,8,25,10,10,10,High,No,No,"Gym, Pool, Playground, Garden, Clubhouse",West,Broker,Under_Construction,1.0,1.0,0,0,1
83071,Karnataka,Bangalore,Locality_279,Villa,1,1839,220.55,0.12,2017,Semi-furnished,15,24,8,4,1,High,Yes,Yes,"Gym, Garden, Clubhouse",North,Builder,Under_Construction,0.5,1.0,1,1,1
83079,Karnataka,Bangalore,Locality_440,Apartment,4,3139,347.49,0.11,2006,Furnished,4,6,19,10,8,High,No,Yes,"Garden, Gym, Pool, Clubhouse, Playground",South,Builder,Under_Construction,1.0,1.0,0,1,1
83161,Karnataka,Bangalore,Locality_42,Villa,4,4175,360.97,0.09,2010,Furnished,11,27,15,1,9,Low,No,No,"Gym, Garden, Clubhouse",South,Owner,Under_Construction,1.0,0.0,0,0,1
83192,Karnataka,Bangalore,Locality_162,Villa,2,3806,303.33,0.08,1995,Semi-furnished,20,1,30,2,4,High,No,Yes,"Playground, Gym, Pool",East,Builder,Under_Construction,0.5,1.0,0,1,1
83259,Karnataka,Bangalore,Locality_17,Apartment,1,2256,296.54,0.13,2015,Semi-furnished,26,14,10,9,10,Low,Yes,Yes,"Garden, Gym, Playground, Pool, Clubhouse",East,Owner,Under_Construction,0.5,0.0,1,1,1
83305,Karnataka,Bangalore,Locality_338,Villa,3,4171,151.82,0.04,1998,Semi-furnished,26,23,27,5,4,Low,Yes,No,"Garden, Clubhouse, Pool",South,Broker,Under_Construction,0.5,0.0,1,0,1
83362,Karnataka,Bangalore,Locality_284,Villa,3,1089,437.85,0.4,1997,Furnished,26,6,28,5,6,High,Yes,No,"Garden, Clubhouse, Pool, Playground, Gym",North,Builder,Ready_to_Move,1.0,1.0,1,0,0
83372,Karnataka,Bangalore,Locality_265,Independent House,1,4203,269.22,0.06,2022,Furnished,0,27,3,8,9,Low,Yes,No,Pool,South,Owner,Ready_to_Move,1.0,0.0,1,0,0
83406,Karnataka,Bangalore,Locality_27,Apartment,2,911,312.19,0.34,1990,Semi-furnished,3,27,35,5,10,Low,No,Yes,"Gym, Clubhouse",East,Owner,Under_Construction,0.5,0.0,0,1,1
83435,Karnataka,Bangalore,Locality_210,Apartment,2,2175,420.24,0.19,2011,Semi-furnished,24,16,14,3,5,Medium,Yes,Yes,"Garden, Gym, Clubhouse, Playground, Pool",South,Builder,Under_Construction,0.5,0.5,1,1,1
83439,Karnataka,Bangalore,Locality_323,Apartment,3,1087,225.44,0.21,2013,Unfurnished,11,8,12,1,1,High,No,Yes,"Garden, Pool, Gym",South,Builder,Ready_to_Move,0.0,1.0,0,1,0
83601,Karnataka,Bangalore,Locality_91,Apartment,2,1178,493.77,0.42,2016,Unfurnished,8,5,9,6,8,Low,Yes,No,Clubhouse,East,Owner,Ready_to_Move,0.0,0.0,1,0,0
83813,Karnataka,Bangalore,Locality_246,Independent House,2,2674,113.81,0.04,2022,Unfurnished,7,21,3,9,3,Medium,No,No,Playground,West,Builder,Under_Construction,0.0,0.5,0,0,1
84002,Karnataka,Bangalore,Locality_419,Villa,2,2850,218.18,0.08,2008,Furnished,28,13,17,5,7,High,No,No,"Gym, Pool, Playground, Clubhouse",North,Builder,Ready_to_Move,1.0,1.0,0,0,0
84015,Karnataka,Bangalore,Locality_46,Independent House,2,3987,222.59,0.06,2003,Unfurnished,6,1,22,2,3,Medium,Yes,Yes,"Pool, Gym, Playground, Garden",North,Owner,Ready_to_Move,0.0,0.5,1,1,0
84034,Karnataka,Bangalore,Locality_425,Independent House,1,1871,273.93,0.15,2020,Furnished,7,7,5,1,10,Low,Yes,No,"Garden, Clubhouse, Playground, Gym, Pool",East,Builder,Under_Construction,1.0,0.0,1,0,1
84075,Karnataka,Bangalore,Locality_242,Independent House,2,3656,355.23,0.1,2007,Unfurnished,13,18,18,2,7,Medium,Yes,No,"Playground, Pool, Clubhouse, Gym, Garden",West,Broker,Ready_to_Move,0.0,0.5,1,0,0
84153,Karnataka,Bangalore,Locality_78,Villa,5,3721,28.52,0.01,2019,Semi-furnished,10,26,6,7,5,Low,Yes,Yes,Garden,South,Owner,Under_Construction,0.5,0.0,1,1,1
84200,Karnataka,Bangalore,Locality_371,Villa,1,1785,17.62,0.01,2016,Furnished,29,28,9,2,6,Low,Yes,No,Gym,North,Owner,Ready_to_Move,1.0,0.0,1,0,0
84209,Karnataka,Bangalore,Locality_265,Independent House,5,2294,387.04,0.17,2007,Semi-furnished,2,14,18,10,2,Low,Yes,No,Playground,North,Broker,Under_Construction,0.5,0.0,1,0,1
84387,Karnataka,Bangalore,Locality_243,Independent House,2,1989,384.72,0.19,2015,Unfurnished,27,6,10,3,10,High,Yes,No,Gym,East,Builder,Under_Construction,0.0,1.0,1,0,1
84407,Karnataka,Bangalore,Locality_268,Independent House,1,4600,459.11,0.1,2018,Unfurnished,21,24,7,4,2,Medium,Yes,No,Pool,South,Broker,Ready_to_Move,0.0,0.5,1,0,0
84454,Karnataka,Bangalore,Locality_377,Apartment,2,1479,499.86,0.34,2019,Furnished,17,29,6,8,7,Medium,Yes,Yes,Garden,West,Builder,Under_Construction,1.0,0.5,1,1,1
84489,Karnataka,Bangalore,Locality_235,Independent House,4,2672,78.87,0.03,1999,Furnished,0,21,26,5,8,Low,Yes,No,Garden,North,Owner,Ready_to_Move,1.0,0.0,1,0,0
